name,zip,kpi,Month 1,Month 2,delivery service
Gemütliche Speiselokal,8020,# Commissionable Orders,106.0,120.0,deliverando
Gemütliche Speiselokal,8020,Avg Basket Size €,25.02,27.79,deliverando
Gemütliche Speiselokal,8020,# Negative Comments,1.0,0.0,deliverando
Gemütliche Speiselokal,8020,# Positive Comments,1.0,1.0,deliverando
Gemütliche Speiselokal,8020,% Kill Rate,0.1,85.0,deliverando
Gemütliche Speiselokal,8020,Avg Time to Accept (s),34.0,31.0,deliverando
Maritime Weinkeller,8053,# Commissionable Orders,746.0,835.0,deliverando
Maritime Weinkeller,8053,Avg Basket Size €,26.34,28.07,deliverando
Maritime Weinkeller,8053,# Negative Comments,0.0,4.0,deliverando
Maritime Weinkeller,8053,# Positive Comments,1.0,1.0,deliverando
Maritime Weinkeller,8053,% Kill Rate,54.0,51.0,deliverando
Maritime Weinkeller,8053,Avg Time to Accept (s),21.0,24.0,deliverando
Wiener Hangout,8051,# Commissionable Orders,336.0,362.0,deliverando
Wiener Hangout,8051,Avg Basket Size €,17.46,18.67,deliverando
Wiener Hangout,8051,# Negative Comments,9.0,9.0,deliverando
Wiener Hangout,8051,# Positive Comments,1.0,1.0,deliverando
Wiener Hangout,8051,% Kill Rate,75.0,81.0,deliverando
Wiener Hangout,8051,Avg Time to Accept (s),26.0,26.0,deliverando
Kleine Soda fountain,8010,# Commissionable Orders,486.0,561.0,deliverando
Kleine Soda fountain,8010,Avg Basket Size €,24.3,24.81,deliverando
Kleine Soda fountain,8010,# Negative Comments,1.0,1.0,deliverando
Kleine Soda fountain,8010,# Positive Comments,1.0,1.0,deliverando
Kleine Soda fountain,8010,% Kill Rate,85.0,79.0,deliverando
Kleine Soda fountain,8010,Avg Time to Accept (s),15.0,16.0,deliverando
Blumen Schänke,8042,# Commissionable Orders,248.0,211.0,deliverando
Blumen Schänke,8042,Avg Basket Size €,20.72,20.81,deliverando
Blumen Schänke,8042,# Negative Comments,1.0,1.0,deliverando
Blumen Schänke,8042,# Positive Comments,1.0,1.0,deliverando
Blumen Schänke,8042,% Kill Rate,93.0,81.0,deliverando
Blumen Schänke,8042,Avg Time to Accept (s),18.0,20.0,deliverando
Holz Herrenhaus,8010,# Commissionable Orders,333.0,335.0,deliverando
Holz Herrenhaus,8010,Avg Basket Size €,22.6,22.93,deliverando
Holz Herrenhaus,8010,# Negative Comments,6.0,1.0,deliverando
Holz Herrenhaus,8010,# Positive Comments,1.0,1.0,deliverando
Holz Herrenhaus,8010,% Kill Rate,103.0,106.0,deliverando
Holz Herrenhaus,8010,Avg Time to Accept (s),127.0,104.0,deliverando
Goldene Pizzeria,8020,# Commissionable Orders,328.0,322.0,deliverando
Goldene Pizzeria,8020,Avg Basket Size €,21.85,23.49,deliverando
Goldene Pizzeria,8020,# Negative Comments,1.0,0.0,deliverando
Goldene Pizzeria,8020,# Positive Comments,1.0,1.0,deliverando
Goldene Pizzeria,8020,% Kill Rate,107.0,99.0,deliverando
Goldene Pizzeria,8020,Avg Time to Accept (s),27.0,20.0,deliverando
Gute Kneipe,8020,# Commissionable Orders,116.0,81.0,deliverando
Gute Kneipe,8020,Avg Basket Size €,12.23,12.9,deliverando
Gute Kneipe,8020,# Negative Comments,0.0,1.0,deliverando
Gute Kneipe,8020,# Positive Comments,1.0,1.0,deliverando
Gute Kneipe,8020,% Kill Rate,0.13,109.0,deliverando
Gute Kneipe,8020,Avg Time to Accept (s),397.0,392.0,deliverando
Traditionelle Kneipe,8020,# Commissionable Orders,460.0,528.0,deliverando
Traditionelle Kneipe,8020,Avg Basket Size €,26.82,25.62,deliverando
Traditionelle Kneipe,8020,# Negative Comments,6.0,2.0,deliverando
Traditionelle Kneipe,8020,# Positive Comments,1.0,1.0,deliverando
Traditionelle Kneipe,8020,% Kill Rate,91.0,0.08,deliverando
Traditionelle Kneipe,8020,Avg Time to Accept (s),22.0,23.0,deliverando
Ruhige Küche,8054,# Commissionable Orders,23.0,35.0,deliverando
Ruhige Küche,8054,Avg Basket Size €,18.54,19.56,deliverando
Ruhige Küche,8054,# Negative Comments,0.0,0.0,deliverando
Ruhige Küche,8054,# Positive Comments,1.0,1.0,deliverando
Ruhige Küche,8054,% Kill Rate,77.0,77.0,deliverando
Ruhige Küche,8054,Avg Time to Accept (s),100.0,40.0,deliverando
Holz Winery,8020,# Commissionable Orders,36.0,36.0,deliverando
Holz Winery,8020,Avg Basket Size €,13.84,13.41,deliverando
Holz Winery,8020,# Negative Comments,0.0,0.0,deliverando
Holz Winery,8020,# Positive Comments,1.0,1.0,deliverando
Holz Winery,8020,% Kill Rate,78.0,0.08,deliverando
Holz Winery,8020,Avg Time to Accept (s),387.0,366.0,deliverando
Glänzende Brauhaus,8010,# Commissionable Orders,235.0,299.0,deliverando
Glänzende Brauhaus,8010,Avg Basket Size €,31.06,32.16,deliverando
Glänzende Brauhaus,8010,# Negative Comments,1.0,1.0,deliverando
Glänzende Brauhaus,8010,# Positive Comments,1.0,1.0,deliverando
Glänzende Brauhaus,8010,% Kill Rate,115.0,105.0,deliverando
Glänzende Brauhaus,8010,Avg Time to Accept (s),21.0,12.0,deliverando
Opulent Pizzeria,8020,# Commissionable Orders,64.0,80.0,deliverando
Opulent Pizzeria,8020,Avg Basket Size €,11.63,11.5,deliverando
Opulent Pizzeria,8020,# Negative Comments,0.0,0.0,deliverando
Opulent Pizzeria,8020,# Positive Comments,1.0,1.0,deliverando
Opulent Pizzeria,8020,% Kill Rate,35.0,29.0,deliverando
Opulent Pizzeria,8020,Avg Time to Accept (s),345.0,339.0,deliverando
Magische Dorfschenke,8010,# Commissionable Orders,0.0,0.0,deliverando
Magische Dorfschenke,8010,# Negative Comments,0.0,0.0,deliverando
Magische Dorfschenke,8010,# Positive Comments,0.0,0.0,deliverando
Pittoreske Speisesaal,8020,# Commissionable Orders,0.0,0.0,deliverando
Pittoreske Speisesaal,8020,# Negative Comments,0.0,0.0,deliverando
Pittoreske Speisesaal,8020,# Positive Comments,0.0,0.0,deliverando
Magische Hütte,8020,# Commissionable Orders,285.0,252.0,deliverando
Magische Hütte,8020,Avg Basket Size €,19.86,22.08,deliverando
Magische Hütte,8020,# Negative Comments,2.0,2.0,deliverando
Magische Hütte,8020,# Positive Comments,1.0,1.0,deliverando
Magische Hütte,8020,% Kill Rate,87.0,77.0,deliverando
Magische Hütte,8020,Avg Time to Accept (s),16.0,17.0,deliverando
Herzog Zirbelstube,8043,# Commissionable Orders,240.0,300.0,deliverando
Herzog Zirbelstube,8043,Avg Basket Size €,24.08,25.44,deliverando
Herzog Zirbelstube,8043,# Negative Comments,0.0,1.0,deliverando
Herzog Zirbelstube,8043,# Positive Comments,1.0,1.0,deliverando
Herzog Zirbelstube,8043,% Kill Rate,86.0,81.0,deliverando
Herzog Zirbelstube,8043,Avg Time to Accept (s),18.0,14.0,deliverando
Elegante Hangout,8054,# Commissionable Orders,229.0,253.0,deliverando
Elegante Hangout,8054,Avg Basket Size €,18.65,18.55,deliverando
Elegante Hangout,8054,# Negative Comments,1.0,1.0,deliverando
Elegante Hangout,8054,# Positive Comments,1.0,1.0,deliverando
Elegante Hangout,8054,% Kill Rate,0.07,71.0,deliverando
Elegante Hangout,8054,Avg Time to Accept (s),13.0,11.0,deliverando
Edelweiß Alm,8052,# Commissionable Orders,278.0,319.0,deliverando
Edelweiß Alm,8052,Avg Basket Size €,23.98,24.27,deliverando
Edelweiß Alm,8052,# Negative Comments,2.0,1.0,deliverando
Edelweiß Alm,8052,# Positive Comments,1.0,1.0,deliverando
Edelweiß Alm,8052,% Kill Rate,59.0,58.0,deliverando
Edelweiß Alm,8052,Avg Time to Accept (s),23.0,21.0,deliverando
Wolkenkratzer Zirbelstube,8042,# Commissionable Orders,674.0,643.0,deliverando
Wolkenkratzer Zirbelstube,8042,Avg Basket Size €,14.01,14.31,deliverando
Wolkenkratzer Zirbelstube,8042,# Negative Comments,6.0,3.0,deliverando
Wolkenkratzer Zirbelstube,8042,# Positive Comments,1.0,1.0,deliverando
Wolkenkratzer Zirbelstube,8042,% Kill Rate,47.0,43.0,deliverando
Wolkenkratzer Zirbelstube,8042,Avg Time to Accept (s),11.0,10.0,deliverando
Rauchige Wanderhütte,8020,# Commissionable Orders,1463.0,1634.0,deliverando
Rauchige Wanderhütte,8020,Avg Basket Size €,19.56,19.89,deliverando
Rauchige Wanderhütte,8020,# Negative Comments,1.0,1.0,deliverando
Rauchige Wanderhütte,8020,# Positive Comments,1.0,1.0,deliverando
Rauchige Wanderhütte,8020,% Kill Rate,64.0,61.0,deliverando
Rauchige Wanderhütte,8020,Avg Time to Accept (s),9.0,9.0,deliverando
Gastfreundliche Tenne,8041,# Commissionable Orders,67.0,114.0,deliverando
Gastfreundliche Tenne,8041,Avg Basket Size €,24.43,23.95,deliverando
Gastfreundliche Tenne,8041,# Negative Comments,0.0,3.0,deliverando
Gastfreundliche Tenne,8041,# Positive Comments,1.0,1.0,deliverando
Gastfreundliche Tenne,8041,% Kill Rate,133.0,0.12,deliverando
Gastfreundliche Tenne,8041,Avg Time to Accept (s),10.0,11.0,deliverando
Gute Feuerstelle,8010,# Commissionable Orders,869.0,651.0,deliverando
Gute Feuerstelle,8010,Avg Basket Size €,24.98,25.16,deliverando
Gute Feuerstelle,8010,# Negative Comments,1.0,3.0,deliverando
Gute Feuerstelle,8010,# Positive Comments,1.0,1.0,deliverando
Gute Feuerstelle,8010,% Kill Rate,69.0,67.0,deliverando
Gute Feuerstelle,8010,Avg Time to Accept (s),16.0,12.0,deliverando
Weinstube Taverne,8010,# Commissionable Orders,52.0,157.0,deliverando
Weinstube Taverne,8010,Avg Basket Size €,19.5,19.24,deliverando
Weinstube Taverne,8010,# Negative Comments,1.0,4.0,deliverando
Weinstube Taverne,8010,# Positive Comments,1.0,1.0,deliverando
Weinstube Taverne,8010,Avg Time to Accept (s),32.0,21.0,deliverando
Bauer Küche,8041,# Commissionable Orders,191.0,129.0,deliverando
Bauer Küche,8041,Avg Basket Size €,28.18,26.76,deliverando
Bauer Küche,8041,# Negative Comments,1.0,0.0,deliverando
Bauer Küche,8041,# Positive Comments,1.0,1.0,deliverando
Bauer Küche,8041,% Kill Rate,127.0,112.0,deliverando
Bauer Küche,8041,Avg Time to Accept (s),38.0,36.0,deliverando
Winterliche Schankstube,8010,# Commissionable Orders,370.0,439.0,deliverando
Winterliche Schankstube,8010,Avg Basket Size €,17.38,18.36,deliverando
Winterliche Schankstube,8010,# Negative Comments,5.0,7.0,deliverando
Winterliche Schankstube,8010,# Positive Comments,1.0,1.0,deliverando
Winterliche Schankstube,8010,% Kill Rate,96.0,94.0,deliverando
Winterliche Schankstube,8010,Avg Time to Accept (s),17.0,14.0,deliverando
Sanfte Pizzeria,8010,# Commissionable Orders,1899.0,1859.0,deliverando
Sanfte Pizzeria,8010,Avg Basket Size €,23.53,23.99,deliverando
Sanfte Pizzeria,8010,# Negative Comments,4.0,7.0,deliverando
Sanfte Pizzeria,8010,# Positive Comments,1.0,1.0,deliverando
Sanfte Pizzeria,8010,% Kill Rate,63.0,0.06,deliverando
Sanfte Pizzeria,8010,Avg Time to Accept (s),15.0,14.0,deliverando
Verträumte Felsenkeller,8020,# Commissionable Orders,80.0,76.0,deliverando
Verträumte Felsenkeller,8020,Avg Basket Size €,21.62,22.42,deliverando
Verträumte Felsenkeller,8020,# Negative Comments,2.0,0.0,deliverando
Verträumte Felsenkeller,8020,# Positive Comments,1.0,1.0,deliverando
Verträumte Felsenkeller,8020,% Kill Rate,111.0,111.0,deliverando
Verträumte Felsenkeller,8020,Avg Time to Accept (s),49.0,63.0,deliverando
Blauer Speiselokal,8010,# Commissionable Orders,94.0,100.0,deliverando
Blauer Speiselokal,8010,Avg Basket Size €,28.38,30.31,deliverando
Blauer Speiselokal,8010,# Negative Comments,1.0,1.0,deliverando
Blauer Speiselokal,8010,# Positive Comments,1.0,1.0,deliverando
Blauer Speiselokal,8010,% Kill Rate,184.0,198.0,deliverando
Blauer Speiselokal,8010,Avg Time to Accept (s),13.0,14.0,deliverando
Hof Schanke,8010,# Commissionable Orders,498.0,637.0,deliverando
Hof Schanke,8010,Avg Basket Size €,16.85,17.92,deliverando
Hof Schanke,8010,# Negative Comments,8.0,4.0,deliverando
Hof Schanke,8010,# Positive Comments,1.0,1.0,deliverando
Hof Schanke,8010,% Kill Rate,92.0,97.0,deliverando
Hof Schanke,8010,Avg Time to Accept (s),16.0,15.0,deliverando
Edelweiß Scheune,8020,# Commissionable Orders,360.0,508.0,deliverando
Edelweiß Scheune,8020,Avg Basket Size €,15.92,16.48,deliverando
Edelweiß Scheune,8020,# Negative Comments,3.0,2.0,deliverando
Edelweiß Scheune,8020,# Positive Comments,1.0,1.0,deliverando
Edelweiß Scheune,8020,% Kill Rate,79.0,74.0,deliverando
Edelweiß Scheune,8020,Avg Time to Accept (s),19.0,17.0,deliverando
Geheimnisvolle Ginmill,8020,# Commissionable Orders,119.0,102.0,deliverando
Geheimnisvolle Ginmill,8020,Avg Basket Size €,17.43,16.6,deliverando
Geheimnisvolle Ginmill,8020,# Negative Comments,3.0,0.0,deliverando
Geheimnisvolle Ginmill,8020,# Positive Comments,1.0,1.0,deliverando
Geheimnisvolle Ginmill,8020,% Kill Rate,76.0,72.0,deliverando
Geheimnisvolle Ginmill,8020,Avg Time to Accept (s),331.0,341.0,deliverando
Stilvolle Stuben,8010,# Commissionable Orders,88.0,115.0,deliverando
Stilvolle Stuben,8010,Avg Basket Size €,20.07,20.76,deliverando
Stilvolle Stuben,8010,# Negative Comments,1.0,0.0,deliverando
Stilvolle Stuben,8010,# Positive Comments,1.0,1.0,deliverando
Stilvolle Stuben,8010,% Kill Rate,121.0,135.0,deliverando
Stilvolle Stuben,8010,Avg Time to Accept (s),160.0,51.0,deliverando
Gute Küche,8020,# Commissionable Orders,178.0,101.0,deliverando
Gute Küche,8020,Avg Basket Size €,19.74,20.18,deliverando
Gute Küche,8020,# Negative Comments,1.0,2.0,deliverando
Gute Küche,8020,# Positive Comments,1.0,1.0,deliverando
Gute Küche,8020,% Kill Rate,58.0,0.04,deliverando
Gute Küche,8020,Avg Time to Accept (s),22.0,34.0,deliverando
Geheimnisvolle Wirtshaus,8010,# Commissionable Orders,273.0,378.0,deliverando
Geheimnisvolle Wirtshaus,8010,Avg Basket Size €,22.36,23.35,deliverando
Geheimnisvolle Wirtshaus,8010,# Negative Comments,1.0,2.0,deliverando
Geheimnisvolle Wirtshaus,8010,# Positive Comments,1.0,1.0,deliverando
Geheimnisvolle Wirtshaus,8010,% Kill Rate,56.0,58.0,deliverando
Geheimnisvolle Wirtshaus,8010,Avg Time to Accept (s),16.0,16.0,deliverando
Romantische Platz,8020,# Commissionable Orders,330.0,451.0,deliverando
Romantische Platz,8020,Avg Basket Size €,21.46,23.11,deliverando
Romantische Platz,8020,# Negative Comments,1.0,1.0,deliverando
Romantische Platz,8020,# Positive Comments,1.0,1.0,deliverando
Romantische Platz,8020,% Kill Rate,65.0,59.0,deliverando
Romantische Platz,8020,Avg Time to Accept (s),18.0,21.0,deliverando
Romantische Weinstube,8020,# Commissionable Orders,66.0,64.0,deliverando
Romantische Weinstube,8020,Avg Basket Size €,21.53,19.98,deliverando
Romantische Weinstube,8020,# Negative Comments,0.0,0.0,deliverando
Romantische Weinstube,8020,# Positive Comments,1.0,1.0,deliverando
Romantische Weinstube,8020,% Kill Rate,71.0,68.0,deliverando
Romantische Weinstube,8020,Avg Time to Accept (s),516.0,513.0,deliverando
Traditionelle Braustube,8053,# Commissionable Orders,537.0,591.0,deliverando
Traditionelle Braustube,8053,Avg Basket Size €,17.65,17.37,deliverando
Traditionelle Braustube,8053,# Negative Comments,3.0,8.0,deliverando
Traditionelle Braustube,8053,# Positive Comments,1.0,1.0,deliverando
Traditionelle Braustube,8053,% Kill Rate,53.0,56.0,deliverando
Traditionelle Braustube,8053,Avg Time to Accept (s),11.0,9.0,deliverando
Wirtshaus Weinbar,8054,# Commissionable Orders,184.0,202.0,deliverando
Wirtshaus Weinbar,8054,Avg Basket Size €,14.73,14.77,deliverando
Wirtshaus Weinbar,8054,# Negative Comments,1.0,1.0,deliverando
Wirtshaus Weinbar,8054,# Positive Comments,1.0,1.0,deliverando
Wirtshaus Weinbar,8054,% Kill Rate,53.0,68.0,deliverando
Wirtshaus Weinbar,8054,Avg Time to Accept (s),20.0,18.0,deliverando
Grüne Tanzschuppen,8045,# Commissionable Orders,319.0,363.0,deliverando
Grüne Tanzschuppen,8045,Avg Basket Size €,21.59,23.22,deliverando
Grüne Tanzschuppen,8045,# Negative Comments,3.0,4.0,deliverando
Grüne Tanzschuppen,8045,# Positive Comments,1.0,1.0,deliverando
Grüne Tanzschuppen,8045,% Kill Rate,88.0,77.0,deliverando
Grüne Tanzschuppen,8045,Avg Time to Accept (s),18.0,18.0,deliverando
Legendary Kellerstüberl,8010,# Commissionable Orders,265.0,268.0,deliverando
Legendary Kellerstüberl,8010,Avg Basket Size €,16.83,16.75,deliverando
Legendary Kellerstüberl,8010,# Negative Comments,2.0,0.0,deliverando
Legendary Kellerstüberl,8010,# Positive Comments,1.0,1.0,deliverando
Legendary Kellerstüberl,8010,% Kill Rate,59.0,62.0,deliverando
Legendary Kellerstüberl,8010,Avg Time to Accept (s),19.0,21.0,deliverando
Moderne Weinkneipe,8010,# Commissionable Orders,767.0,752.0,deliverando
Moderne Weinkneipe,8010,Avg Basket Size €,26.48,26.1,deliverando
Moderne Weinkneipe,8010,# Negative Comments,1.0,0.0,deliverando
Moderne Weinkneipe,8010,# Positive Comments,1.0,1.0,deliverando
Moderne Weinkneipe,8010,% Kill Rate,79.0,82.0,deliverando
Moderne Weinkneipe,8010,Avg Time to Accept (s),19.0,19.0,deliverando
Mozart Zirbelstube,8055,# Commissionable Orders,318.0,360.0,deliverando
Mozart Zirbelstube,8055,Avg Basket Size €,18.36,18.39,deliverando
Mozart Zirbelstube,8055,# Negative Comments,0.0,0.0,deliverando
Mozart Zirbelstube,8055,# Positive Comments,1.0,1.0,deliverando
Mozart Zirbelstube,8055,% Kill Rate,86.0,86.0,deliverando
Mozart Zirbelstube,8055,Avg Time to Accept (s),9.0,10.0,deliverando
Prachtvolle Kaminzimmer,8010,# Commissionable Orders,6.0,1.0,deliverando
Prachtvolle Kaminzimmer,8010,# Negative Comments,0.0,0.0,deliverando
Prachtvolle Kaminzimmer,8010,# Positive Comments,1.0,0.0,deliverando
Prachtvolle Kaminzimmer,8010,% Kill Rate,79.0,93.0,deliverando
Himmel Ort,8020,# Commissionable Orders,114.0,108.0,deliverando
Himmel Ort,8020,Avg Basket Size €,20.5,18.26,deliverando
Himmel Ort,8020,# Negative Comments,2.0,0.0,deliverando
Himmel Ort,8020,# Positive Comments,1.0,1.0,deliverando
Himmel Ort,8020,% Kill Rate,98.0,0.08,deliverando
Himmel Ort,8020,Avg Time to Accept (s),333.0,446.0,deliverando
Sonnige Drinkery,8053,# Commissionable Orders,160.0,195.0,deliverando
Sonnige Drinkery,8053,Avg Basket Size €,23.42,22.02,deliverando
Sonnige Drinkery,8053,# Negative Comments,2.0,1.0,deliverando
Sonnige Drinkery,8053,# Positive Comments,1.0,1.0,deliverando
Sonnige Drinkery,8053,% Kill Rate,109.0,94.0,deliverando
Sonnige Drinkery,8053,Avg Time to Accept (s),21.0,23.0,deliverando
Gebackene Stubn,8010,# Commissionable Orders,1933.0,2180.0,deliverando
Gebackene Stubn,8010,Avg Basket Size €,20.42,21.52,deliverando
Gebackene Stubn,8010,# Negative Comments,7.0,10.0,deliverando
Gebackene Stubn,8010,# Positive Comments,1.0,1.0,deliverando
Gebackene Stubn,8010,% Kill Rate,51.0,47.0,deliverando
Gebackene Stubn,8010,Avg Time to Accept (s),16.0,13.0,deliverando
Bunte Ginmill,8010,# Commissionable Orders,624.0,634.0,deliverando
Bunte Ginmill,8010,Avg Basket Size €,21.1,21.05,deliverando
Bunte Ginmill,8010,# Negative Comments,0.0,1.0,deliverando
Bunte Ginmill,8010,# Positive Comments,1.0,1.0,deliverando
Bunte Ginmill,8010,% Kill Rate,84.0,76.0,deliverando
Bunte Ginmill,8010,Avg Time to Accept (s),10.0,10.0,deliverando
Traditionelle Scheune,8010,# Commissionable Orders,827.0,918.0,deliverando
Traditionelle Scheune,8010,Avg Basket Size €,17.19,17.21,deliverando
Traditionelle Scheune,8010,# Negative Comments,6.0,9.0,deliverando
Traditionelle Scheune,8010,# Positive Comments,1.0,1.0,deliverando
Traditionelle Scheune,8010,% Kill Rate,79.0,86.0,deliverando
Traditionelle Scheune,8010,Avg Time to Accept (s),16.0,15.0,deliverando
Edelweiß Heuriger,8010,# Commissionable Orders,12.0,115.0,deliverando
Edelweiß Heuriger,8010,Avg Basket Size €,23.43,18.32,deliverando
Edelweiß Heuriger,8010,# Negative Comments,0.0,1.0,deliverando
Edelweiß Heuriger,8010,# Positive Comments,1.0,1.0,deliverando
Edelweiß Heuriger,8010,% Kill Rate,83.0,93.0,deliverando
Edelweiß Heuriger,8010,Avg Time to Accept (s),640.0,440.0,deliverando
Idyllische Ratsstube,8042,# Commissionable Orders,387.0,453.0,deliverando
Idyllische Ratsstube,8042,Avg Basket Size €,21.52,22.19,deliverando
Idyllische Ratsstube,8042,# Negative Comments,0.0,2.0,deliverando
Idyllische Ratsstube,8042,# Positive Comments,1.0,1.0,deliverando
Idyllische Ratsstube,8042,% Kill Rate,71.0,65.0,deliverando
Idyllische Ratsstube,8042,Avg Time to Accept (s),18.0,19.0,deliverando
Alpen Alm,8010,# Commissionable Orders,320.0,215.0,deliverando
Alpen Alm,8010,Avg Basket Size €,17.75,18.84,deliverando
Alpen Alm,8010,# Negative Comments,1.0,1.0,deliverando
Alpen Alm,8010,# Positive Comments,1.0,1.0,deliverando
Alpen Alm,8010,% Kill Rate,59.0,57.0,deliverando
Alpen Alm,8010,Avg Time to Accept (s),9.0,9.0,deliverando
Ruhige Stadl,8051,# Commissionable Orders,336.0,430.0,deliverando
Ruhige Stadl,8051,Avg Basket Size €,18.24,17.87,deliverando
Ruhige Stadl,8051,# Negative Comments,1.0,3.0,deliverando
Ruhige Stadl,8051,# Positive Comments,1.0,1.0,deliverando
Ruhige Stadl,8051,% Kill Rate,93.0,93.0,deliverando
Ruhige Stadl,8051,Avg Time to Accept (s),14.0,14.0,deliverando
Ruhige Drinkery,8041,# Commissionable Orders,41.0,68.0,deliverando
Ruhige Drinkery,8041,Avg Basket Size €,21.71,21.55,deliverando
Ruhige Drinkery,8041,# Negative Comments,1.0,0.0,deliverando
Ruhige Drinkery,8041,# Positive Comments,1.0,1.0,deliverando
Ruhige Drinkery,8041,% Kill Rate,94.0,75.0,deliverando
Ruhige Drinkery,8041,Avg Time to Accept (s),15.0,14.0,deliverando
Kultivierte Zirbelstube,8010,# Commissionable Orders,38.0,150.0,deliverando
Kultivierte Zirbelstube,8010,Avg Basket Size €,15.72,13.51,deliverando
Kultivierte Zirbelstube,8010,# Negative Comments,2.0,3.0,deliverando
Kultivierte Zirbelstube,8010,# Positive Comments,1.0,1.0,deliverando
Kultivierte Zirbelstube,8010,% Kill Rate,89.0,78.0,deliverando
Kultivierte Zirbelstube,8010,Avg Time to Accept (s),17.0,17.0,deliverando
Herbstliche Verköstigungszimmer,8042,# Commissionable Orders,0.0,0.0,deliverando
Herbstliche Verköstigungszimmer,8042,# Negative Comments,0.0,0.0,deliverando
Herbstliche Verköstigungszimmer,8042,# Positive Comments,0.0,0.0,deliverando
Himmel Hof,8052,# Commissionable Orders,319.0,342.0,deliverando
Himmel Hof,8052,Avg Basket Size €,19.6,20.61,deliverando
Himmel Hof,8052,# Negative Comments,1.0,1.0,deliverando
Himmel Hof,8052,# Positive Comments,1.0,1.0,deliverando
Himmel Hof,8052,% Kill Rate,44.0,45.0,deliverando
Himmel Hof,8052,Avg Time to Accept (s),17.0,17.0,deliverando
Rustikale Zirbelstube,8020,# Commissionable Orders,139.0,221.0,deliverando
Rustikale Zirbelstube,8020,Avg Basket Size €,14.73,12.2,deliverando
Rustikale Zirbelstube,8020,# Negative Comments,2.0,1.0,deliverando
Rustikale Zirbelstube,8020,# Positive Comments,1.0,1.0,deliverando
Rustikale Zirbelstube,8020,% Kill Rate,59.0,62.0,deliverando
Rustikale Zirbelstube,8020,Avg Time to Accept (s),310.0,289.0,deliverando
Wald Wirtshaus,8020,# Commissionable Orders,0.0,0.0,deliverando
Wald Wirtshaus,8020,# Negative Comments,0.0,0.0,deliverando
Wald Wirtshaus,8020,# Positive Comments,0.0,0.0,deliverando
Ruhige Bierstube,8010,# Commissionable Orders,11.0,0.0,deliverando
Ruhige Bierstube,8010,# Negative Comments,0.0,0.0,deliverando
Ruhige Bierstube,8010,# Positive Comments,0.0,0.0,deliverando
Ruhige Bierstube,8010,% Kill Rate,86.0,101.0,deliverando
Ruhige Soda fountain,8020,# Commissionable Orders,10.0,22.0,deliverando
Ruhige Soda fountain,8020,Avg Basket Size €,29.43,25.19,deliverando
Ruhige Soda fountain,8020,# Negative Comments,0.0,0.0,deliverando
Ruhige Soda fountain,8020,# Positive Comments,0.0,1.0,deliverando
Ruhige Soda fountain,8020,% Kill Rate,0.03,48.0,deliverando
Ruhige Soda fountain,8020,Avg Time to Accept (s),156.0,641.0,deliverando
Idyllische Rathskeller,8020,# Commissionable Orders,47.0,67.0,deliverando
Idyllische Rathskeller,8020,Avg Basket Size €,26.25,22.82,deliverando
Idyllische Rathskeller,8020,# Negative Comments,0.0,0.0,deliverando
Idyllische Rathskeller,8020,# Positive Comments,1.0,1.0,deliverando
