name,zip,orders,month,delivery_service
Sonnige Brauhaus,4030,1141,1,competition
Verträumte Zirbelstube,3382,168,1,competition
Berg Alm,8010,233,1,competition
Gebackene Schänke,6850,8,1,competition
Weinstube Küche,8010,90,1,competition
Sonnen Brauhaus,1050,3,1,competition
Schloss Kellerstüberl,2700,3,1,competition
Bergdorf Tanzlokal,1100,1372,1,competition
Kultivierte Pizzeria,4020,166,1,competition
Bunte Schenke,3124,6,1,competition
Dörfler Weinstube,1170,41,1,competition
Berg Stube,1220,1435,1,competition
Blumen Rathskeller,9500,253,1,competition
Sonnen Eatery,1100,493,1,competition
Ländliche Tanzschuppen,1080,1,1,competition
Goldene Dive,8074,493,1,competition
Hof Stadl,6060,406,1,competition
Verträumte Stüberl,2560,379,1,competition
Quaint Weinkneipe,6112,451,1,competition
Ruhige Schänke,1160,48,1,competition
Glänzende Schankstube,1040,123,1,competition
Grüne Drinkery,1080,46,1,competition
Idyllische Dive,1220,411,1,competition
Heimat Weinbistro,1050,5,1,competition
Romantische Almhütte,1010,1869,1,competition
Exotische Café,5020,1385,1,competition
Herzog Soda fountain,3430,1147,1,competition
Fischer Verköstigungszimmer,5600,410,1,competition
Köstliche Ratskeller,5020,130,1,competition
Bäuerliche Hof,1120,204,1,competition
Grüne Hideaway,6020,45,1,competition
Romantische Almhütte,4020,814,1,competition
Bäuerliche Jausenstation,1220,87,1,competition
Hof Weinkneipe,1210,492,1,competition
Exotische Bräustüberl,4600,609,1,competition
Glänzende Bauernhof,3100,251,1,competition
Goldene Bodega,2630,124,1,competition
Rote Dorfschenke,1080,42,1,competition
Magische Dorfschenke,8010,209,1,competition
Rauchige Schlemmerparadies,1070,379,1,competition
Gemütliche Rittersaal,5020,1261,1,competition
Rustikale Stadl,4020,1262,1,competition
Moderne Bierstube,5020,608,1,competition
Sonnen Winkel,1160,6,1,competition
Goldene Tenne,6020,1,1,competition
Gasthof Soda fountain,5730,9,1,competition
Blaue Pizzeria,2491,332,1,competition
Herzog Stuben,4020,46,1,competition
Geheimnisvolle Lokal,1220,526,1,competition
Prachtvolle Pizzeria,1020,454,1,competition
Rauchige Palast,4400,491,1,competition
Edelweiß Blick,2380,407,1,competition
Rustikale Zimmer,1210,204,1,competition
Romantische Brauhaus,1190,5,1,competition
Ehrwürdige Hideaway,2442,815,1,competition
Rustikale Tanzschuppen,1200,4,1,competition
Gebackene Tal,2103,212,1,competition
Scharfe Hof,1040,2,1,competition
Ruhige Weinbistro,4810,490,1,competition
Bäuerliche Alm,2490,81,1,competition
Schöne Gasthof,6710,494,1,competition
Gasthof Krug,1050,7,1,competition
Gebackene Pinte,1210,1419,1,competition
Holz Ginmill,8940,4,1,competition
Opulent Alm,4040,9,1,competition
Bustling Rittersaal,5071,9,1,competition
Quaint Scheune,8076,8,1,competition
Hof Watering hole,6410,85,1,competition
Mozart Tanzschuppen,6020,370,1,competition
Bäuerliche Palast,1010,5,1,competition
Nostalgische Ratskeller,1160,7,1,competition
Große Feuerstelle,4040,1528,1,competition
Märchenhafte Gesellschaftsraum,1170,171,1,competition
Himmel Tafelspitz,1210,127,1,competition
Kaiser Hof,2460,204,1,competition
Grüne Zimmer,2700,654,1,competition
Wein Café,1040,895,1,competition
Wein Weinkneipe,1160,85,1,competition
Schöne Pizzeria,6020,2,1,competition
Bäuerliche Jausenstation,1140,531,1,competition
Rote Dive,5020,4,1,competition
Festliche Brauhaus,6020,47,1,competition
Dörfler Juke joint,8642,696,1,competition
Sonnen Salons,6890,180,1,competition
Blaue Südseeparadies,5020,206,1,competition
Stern Keller,4020,491,1,competition
Maritime Bierstube,8073,405,1,competition
Weinstube Dive,6845,693,1,competition
Gebackene Bodega,1030,5,1,competition
Erfahrene Lokal,1110,90,1,competition
Gebackene Herberge,8010,204,1,competition
Winterliche Küche,1040,6,1,competition
Bauer Schlösschen,5020,406,1,competition
Bäuerliche Hütte,8720,288,1,competition
Verträumte Platz,4470,2,1,competition
Traditionsreiche Lokal,4400,287,1,competition
Blauer Winkel,1230,575,1,competition
Bauer Gourmet,1070,45,1,competition
Verzauberte Verköstigungszimmer,6112,168,1,competition
Stille Speakeasy,1030,3,1,competition
Ruhige Schankstube,8152,289,1,competition
Magische Taverne,1050,7,1,competition
Frische Kneipe,2752,167,1,competition
Sonnige Soda fountain,6020,46,1,competition
Romantische Schankstube,6971,492,1,competition
Kleine Brauerei,4020,507,1,competition
Rote Hideaway,2100,210,1,competition
Exotische Tafelspitz,5020,90,1,competition
Verzauberte Gaststube,1010,8,1,competition
Glanzvolle Hofbräu,1050,5,1,competition
Stilvolle Hütte,1220,583,1,competition
Geheimnisvolle Esszimmer,1100,974,1,competition
Kaiser Tal,6020,86,1,competition
Erfahrene Esszimmer,2700,694,1,competition
Goldene Biergarten,8055,408,1,competition
Gastfreundliche Schankstube,1160,490,1,competition
Herzog Hofbräu,1230,168,1,competition
Edle Hof,1160,693,1,competition
Wein Felsenkeller,2540,408,1,competition
Rustikale Waldhaus,1010,5,1,competition
Schloss Palast,1090,8,1,competition
Alpine Club,2700,663,1,competition
Schloss Weinbistro,6574,1,1,competition
Herbstliche Bauernhof,1050,90,1,competition
Legendary Schankstube,8010,492,1,competition
Bauer Grillplatz,8081,333,1,competition
Fröhliche Ecke,1090,373,1,competition
Bunte Schmiede,7011,406,1,competition
Herzliche Bierbrunnen,1200,8,1,competition
Hof Garten,4070,488,1,competition
Legendary Bauernhof,3133,163,1,competition
Grüne Ecke,5020,1093,1,competition
Grüne Herberge,1180,495,1,competition
Nostalgische Gasthof,1040,123,1,competition
Exotische Watering hole,1100,6,1,competition
Neue Taverna,8700,3,1,competition
Pittoreske Hofladen,3251,285,1,competition
Gute Club,1170,9,1,competition
Prachtvolle Krug,3435,125,1,competition
Nostalgische Weinlokal,1160,163,1,competition
Alpine Gesellschaftsraum,6900,2,1,competition
Gebackene Ratskeller,2700,46,1,competition
Weinstube Palast,5280,520,1,competition
Adventurous Weinbar,2452,169,1,competition
Einsame Haus,1120,42,1,competition
Mozart Club,8041,289,1,competition
Stille Pinte,3150,211,1,competition
Schöne Brauhaus,2514,320,1,competition
Frische Tafelspitz,1230,452,1,competition
Schöne Pinte,1220,9,1,competition
Neue Scheune,1100,6,1,competition
Adventurous Club,3430,180,1,competition
Wein Stüberl,6020,170,1,competition
Grüne Bierstube,3423,123,1,competition
Herbstliche Wirt,6020,5,1,competition
Gesellige Speakeasy,1050,244,1,competition
Rote Weinkneipe,1160,8,1,competition
Roter Scheune,8010,252,1,competition
Bunte Speisesaal,1020,7,1,competition
Herzliche Watering hole,1010,45,1,competition
Alpine Watering hole,1200,5,1,competition
Ehrwürdige Inn,8020,47,1,competition
Scharfe Weinstube,1160,412,1,competition
Gastfreundliche Tenne,6900,495,1,competition
Gemütliche Schlemmerparadies,1050,2025,1,competition
Goldene Hangout,5020,129,1,competition
Glanzvolle Wanderhütte,1030,9,1,competition
Blauer Festscheune,1040,0,1,competition
Maritime Pinte,9020,251,1,competition
Mühle Stube,1010,3,1,competition
Grüne Feuerstelle,4050,606,1,competition
Bustling Salons,1090,2,1,competition
Blaue Blick,4030,693,1,competition
Bunte Wirt,1020,0,1,competition
Romantische Kneipe,1100,244,1,competition
Wirtshaus Ratskeller,1100,45,1,competition
Hof Zirbelstube,5020,210,1,competition
Gastfreundliche Stubn,6112,9,1,competition
Alpen Hofbräu,9500,737,1,competition
Alte Hangout,4020,1420,1,competition
Dörfler Keller,1220,130,1,competition
Edle Herberge,1030,86,1,competition
Himmel Krug,1120,3,1,competition
Glanzvolle Weinbistro,8020,325,1,competition
Stern Tanzlokal,1020,405,1,competition
Große Winkel,1140,125,1,competition
Hof Schmiede,1090,693,1,competition
Opulent Alm,1130,1298,1,competition
Bergdorf Bierstube,6020,45,1,competition
Stilvolle Verköstigungszimmer,1090,164,1,competition
Bunte Weinkeller,4710,206,1,competition
Goldene Inn,1130,2,1,competition
Dörfler Burg,1030,452,1,competition
Stilvolle See,5020,794,1,competition
Erfahrene Tenne,1020,1002,1,competition
Herbstliche Ratsstube,1060,9,1,competition
Rote Blick,2514,405,1,competition
Bustling Speakeasy,1050,203,1,competition
Fröhliche Eatery,4020,46,1,competition
Festliche Wirtshaus,2700,206,1,competition
Stilvolle Gastzimmer,4020,48,1,competition
Stille Eatery,8435,168,1,competition
Ländliche Pinte,1190,1338,1,competition
Idyllische Schankstube,4040,8,1,competition
Hohe Feuerstelle,3032,925,1,competition
Verträumte Tal,1070,1499,1,competition
Kleine Brauerei,2700,287,1,competition
Weinstube Weinkneipe,8200,853,1,competition
Opulent Dorfschenke,6300,365,1,competition
Bergdorf Winery,6020,85,1,competition
Bunte Tenne,1150,0,1,competition
Stille Bierbrunnen,1110,7,1,competition
Fischer Krug,6235,6,1,competition
Dörfler Herrenhaus,4040,1422,1,competition
Schloss Bierbrunnen,4470,209,1,competition
Grüne Wirt,1110,170,1,competition
Große Grillroom,4840,447,1,competition
Gasthof Pizzeria,1100,91,1,competition
Stilvolle Stuben,8010,247,1,competition
Bergdorf Weinbar,4860,773,1,competition
Silberne Mühle,1040,232,1,competition
Ehrwürdige Dorf,9020,86,1,competition
Wiener Soda fountain,9620,206,1,competition
Countrified Bräustüberl,1070,86,1,competition
Mühle Bierbrunnen,8010,0,1,competition
Magische Garten,1200,209,1,competition
Ruhige Alm,4020,371,1,competition
Exotische Speisesaal,1040,168,1,competition
Malerische Stüberl,1160,414,1,competition
Wiener Stube,4020,607,1,competition
Kleine Ort,1180,772,1,competition
Königliche Weinstube,1060,46,1,competition
Mühle Platz,1070,410,1,competition
Gesellige Keller,1040,8,1,competition
Bäuerliche Pinte,2000,243,1,competition
Fröhliche Tanzschuppen,1020,9,1,competition
Rustikale Stüberl,3034,375,1,competition
Scharfe Schänke,1230,1181,1,competition
Kleine Stüberl,2353,248,1,competition
Glänzende Tisch,4030,7,1,competition
Bustling Pinte,6020,123,1,competition
Bunte Stuben,8010,342,1,competition
Kleine Krug,1030,370,1,competition
Winterliche Pizzeria,1060,3,1,competition
Kleine Schankstube,1120,8,1,competition
Legendary Rebgarten,1070,369,1,competition
Fischer Brauhaus,8670,327,1,competition
Scharfe Schänke,6020,252,1,competition
Hohe Stüberl,1030,252,1,competition
Holz Gastgewölbe,1080,491,1,competition
Heimat Hofbräu,2640,446,1,competition
Große Stuben,1220,1,1,competition
Roter Wirtshaus,4400,485,1,competition
Festliche Jausenstation,1110,284,1,competition
Himmel Rittersaal,1220,44,1,competition
Geheimnisvolle Zirbelstube,6020,43,1,competition
Große Küche,1150,245,1,competition
Stern Stadl,2601,984,1,competition
Edle Pizzeria,5020,614,1,competition
Bäuerliche Küche,1170,332,1,competition
Wolkenkratzer Drinkery,1060,44,1,competition
Romantische Weinstube,8020,9,1,competition
Roter Gaststube,5020,2025,1,competition
Goldene Blick,1100,130,1,competition
Wirtshaus Wirtshaus,2320,204,1,competition
Bergdorf Kellerstüberl,1120,8,1,competition
Exotische Weinbar,1200,89,1,competition
Rote Soda fountain,1230,1623,1,competition
Dörfler Zirbelstube,1120,166,1,competition
Rustikale Krug,1070,1263,1,competition
Bauer Bodega,1200,1,1,competition
Wein Weinbar,1010,4,1,competition
Wiener Klause,2213,205,1,competition
Bustling Platzl,4642,325,1,competition
Blaue Schanze,2700,4,1,competition
Blaue Taverne,1040,6,1,competition
Bunte Grillplatz,3100,369,1,competition
Goldene Ratsstube,6020,84,1,competition
Gute Blick,8055,250,1,competition
Glänzende Eck,8720,266,1,competition
Mühle Gaststube,2620,527,1,competition
Winterliche Schlösschen,1200,247,1,competition
Hof Gourmet,2424,91,1,competition
Schloss Verköstigungszimmer,1080,46,1,competition
Romantische Platz,8020,376,1,competition
Roter Rittersaal,1170,367,1,competition
Stilvolle Weinbar,6020,329,1,competition
Opulent Weinkeller,1010,163,1,competition
Prachtvolle Lokal,1160,1,1,competition
Kleine Schenke,4400,451,1,competition
Rauchige Speakeasy,5760,5,1,competition
Blaue Lokal,4030,130,1,competition
Königliche Schanke,6020,814,1,competition
Opulent Taverne,1200,353,1,competition
Exotische Jausenstation,8020,82,1,competition
Bustling Dorf,1210,291,1,competition
Bustling Gesellschaftsraum,9500,334,1,competition
Gasthof Hofladen,1030,408,1,competition
Ehrwürdige Grillplatz,3003,43,1,competition
Bunte Pinte,7100,207,1,competition
Große Küche,1150,439,1,competition
Zirben Grillplatz,1210,1024,1,competition
Wein Festscheune,1070,82,1,competition
Berg Stuben,1100,168,1,competition
Rustikale Alm,1110,2,1,competition
Silberne Weinbar,1180,248,1,competition
Königliche Schmankerl,4664,124,1,competition
Kaiser Club,8010,81,1,competition
Ruhige Wirt,1230,448,1,competition
Idyllische Wirtshaus,8472,492,1,competition
Verträumte Gesellschaftsraum,8020,375,1,competition
Wald Lokal,1120,3,1,competition
Festliche Speiselokal,8010,4,1,competition
Berg Heuriger,4020,86,1,competition
Kaiser Salons,8010,1646,1,competition
Stille Schmankerl,6020,4,1,competition
Himmel Kneipenlokal,5700,368,1,competition
Zirben Rittersaal,1040,223,1,competition
Alpen Soda fountain,1030,1,1,competition
Kultivierte Speakeasy,6845,129,1,competition
Grüne Rathskeller,2100,6,1,competition
Verträumte Esszimmer,2340,534,1,competition
Gesellige Juke joint,1060,5,1,competition
Alpine Zimmer,6410,753,1,competition
Ruhige Rathskeller,1220,244,1,competition
Bäuerliche Festscheune,2351,127,1,competition
Mozart Hofladen,1150,1051,1,competition
Bunte Salons,1220,6,1,competition
Gasthof Festscheune,8010,930,1,competition
Himmel Tal,9020,172,1,competition
Köstliche Tenne,1030,1303,1,competition
Malerische Grillroom,5020,8,1,competition
Legendary Bauernhof,1230,634,1,competition
Bunte Winery,3380,44,1,competition
Hohe Dorfschenke,1150,4,1,competition
Countrified Verköstigungszimmer,8010,365,1,competition
Quaint Weinlokal,2540,436,1,competition
Alpine Hofladen,6020,204,1,competition
Bauer Hangout,3100,204,1,competition
Verzauberte Schlemmerparadies,1050,9,1,competition
Roter Stüberl,6020,3,1,competition
Berg Gesellschaftsraum,2544,1505,1,competition
Berg Kellerstüberl,6444,128,1,competition
Blaue Schmiede,8020,42,1,competition
Himmel Herberge,1060,1231,1,competition
Hohe Wirt,1160,43,1,competition
Blaue Biergarten,1020,408,1,competition
Traditionelle Stube,8053,81,1,competition
Frische Biergarten,1020,105,1,competition
Traditionsreiche Salons,8020,974,1,competition
Kleine Weinstube,1100,126,1,competition
Grüne Brauerei,4070,128,1,competition
Mozart Rebgarten,4040,3,1,competition
Gebackene Gourmet,4800,462,1,competition
Bergdorf Ort,6460,166,1,competition
Blumen Küche,6280,237,1,competition
Stilvolle Winery,1110,293,1,competition
Bergdorf Kneipe,1090,0,1,competition
Einsame Gastzimmer,8010,9,1,competition
Grüne Platz,1070,6,1,competition
Roter Schmiede,1220,775,1,competition
Erfahrene Taverne,1150,1148,1,competition
Silberne Stadl,2604,725,1,competition
Neue Hangout,3313,582,1,competition
Grüne Tanzlokal,2320,1439,1,competition
Elegante Stubn,1080,85,1,competition
Hof Café,2462,91,1,competition
Legendary Schanke,6060,534,1,competition
Frische Bauernhof,1230,6,1,competition
Blauer Schanze,4484,894,1,competition
Herzliche Felsenkeller,4020,1133,1,competition
Gebackene Herrenhaus,1010,917,1,competition
Wein Tisch,1010,286,1,competition
Schloss Tanzschuppen,6850,410,1,competition
Schöne Pinte,1200,4,1,competition
Hof Festscheune,3830,47,1,competition
Neue Dive,1070,410,1,competition
Kleine Brauerei,8010,125,1,competition
Kleine Schanke,1200,135,1,competition
Alpen Speakeasy,5020,7,1,competition
Mozart Eck,6020,10,1,competition
Köstliche Stadl,8053,7,1,competition
Fischer Dorfschenke,8010,248,1,competition
Rustikale Heuriger,1100,249,1,competition
Idyllische Almhütte,1160,169,1,competition
Wiener Gasthof,6020,164,1,competition
Verzauberte See,4020,249,1,competition
Scharfe Rebgarten,1190,121,1,competition
Moderne Weinkeller,3500,89,1,competition
Mozart Weinkeller,1180,327,1,competition
Wein Platzl,6844,811,1,competition
Herzog Herrenhaus,4020,8,1,competition
Bustling Kellerstüberl,1120,8,1,competition
Rasante Inn,1030,7,1,competition
Stern Stube,6200,652,1,competition
Stilvolle Speakeasy,2231,723,1,competition
Winterliche Ratskeller,8010,42,1,competition
Mühle Almhütte,1160,7,1,competition
Traditionelle Biergarten,5020,6,1,competition
Romantische Bauernhof,8020,6,1,competition
Edle Weinkeller,2345,167,1,competition
Maritime Dorf,1020,1,1,competition
Berg Ort,4050,350,1,competition
Mühle Stüberl,8020,8,1,competition
Glänzende Küche,3830,6,1,competition
Roter See,1010,690,1,competition
Countrified Hofbräu,6300,770,1,competition
Stilvolle Schmankerl,6971,210,1,competition
Schloss Dive,1210,530,1,competition
Königliche Hofbräu,1120,1,1,competition
Gute Felsenkeller,1030,124,1,competition
Bunte Grillplatz,3370,50,1,competition
Ehrwürdige Grillroom,2700,609,1,competition
Schloss Zirbelstube,4060,2023,1,competition
Stille Festscheune,6130,406,1,competition
Nostalgische Garten,3001,169,1,competition
Fischer Hof,1070,948,1,competition
Countrified Bierbrunnen,1180,1261,1,competition
Malerische Gourmet,1030,510,1,competition
Herzliche Bauernhof,2700,2,1,competition
Sonnige Weinkeller,3130,318,1,competition
Wein Alm,6130,371,1,competition
Sonnen Stadl,1030,1,1,competition
Alpine Platzl,1010,2,1,competition
Blaue Schlemmerparadies,8020,85,1,competition
Kleine Weinkneipe,6166,9,1,competition
Königliche Dive,1220,349,1,competition
Scharfe Inn,6060,49,1,competition
Traditionsreiche Dive,1200,1139,1,competition
Roter See,5020,85,1,competition
Köstliche Schlemmerparadies,8010,4,1,competition
Glänzende Gesellschaftsraum,5020,1,1,competition
Einsame Ecke,2620,207,1,competition
Kleine Brauerei,6020,166,1,competition
Traditionelle Speisesaal,5020,329,1,competition
Wein See,2000,287,1,competition
Moderne Haus,9400,89,1,competition
Rasante Klause,2252,89,1,competition
Kaiser Salons,1020,99,1,competition
Rustikale Blick,8041,6,1,competition
Rustikale Wirt,1100,7,1,competition
Prachtvolle Stadl,1220,2609,1,competition
Weinstube Bierstube,1110,5,1,competition
Weinstube Hofladen,8073,3,1,competition
Mühle Gaststube,1200,50,1,competition
Große Garten,9020,168,1,competition
Edle Verköstigungszimmer,4020,90,1,competition
Wald Winkel,1150,3,1,competition
Sanfte Lokal,2512,521,1,competition
Malerische Stubn,9020,1,1,competition
Nostalgische Weinkeller,9020,733,1,competition
Legendary Schanze,4030,973,1,competition
Rote Alm,8010,9,1,competition
Wirtshaus Pinte,6020,371,1,competition
Countrified Kellerstüberl,4522,8,1,competition
Moderne Brauhaus,1160,171,1,competition
Romantische Schlösschen,8700,468,1,competition
Hof Herberge,5020,287,1,competition
Himmel Ort,8020,253,1,competition
Blaue Platz,6700,292,1,competition
Sonnen Jausenstation,1140,3523,1,competition
Ruhige Waldhaus,6700,435,1,competition
Rauchige Bodega,6020,4,1,competition
Romantische Waldhaus,3362,285,1,competition
Einsame Brauhaus,1100,83,1,competition
Silberne Kaminzimmer,3100,124,1,competition
Verzauberte Südseeparadies,1100,371,1,competition
Blauer Waldhaus,1080,86,1,competition
Schöne Pinte,1100,346,1,competition
Zirben Winkel,1020,87,1,competition
Quaint Brauhaus,1160,615,1,competition
Glanzvolle Schenke,2340,1753,1,competition
Köstliche Gastzimmer,8410,49,1,competition
Malerische Kaminzimmer,9431,365,1,competition
Bunte Dive,1010,2,1,competition
Rasante Wirtshaus,8010,7,1,competition
Goldene Stadl,1230,209,1,competition
Gute Schlösschen,1210,407,1,competition
Bergdorf Bauernhof,4522,42,1,competition
Gute Dive,1040,5,1,competition
Ländliche Braustube,2700,432,1,competition
Köstliche Mühle,1170,819,1,competition
Fröhliche Kneipe,1090,163,1,competition
Himmel Mühle,1030,167,1,competition
Scharfe Jausenstation,8010,2,1,competition
Romantische Weinlokal,3100,46,1,competition
Blaue Bierstube,5412,42,1,competition
Kultivierte Platz,1140,88,1,competition
Bunte Tanzschuppen,1050,168,1,competition
Hohe Schmiede,1200,9,1,competition
Festliche Gaststube,1010,1,1,competition
Berg Soda fountain,1140,534,1,competition
Hohe Bierstube,1200,491,1,competition
Gasthof Weinbar,1220,326,1,competition
Rasante Kneipe,8041,7,1,competition
Kaiser Scheune,1100,433,1,competition
Blauer Bräustüberl,1050,129,1,competition
Ehrwürdige Schmiede,8053,3,1,competition
Schöne Esszimmer,1120,248,1,competition
Wein Wanderhütte,1010,9,1,competition
Blaue Garten,9020,44,1,competition
Bunte Ort,4501,603,1,competition
Gastfreundliche Tanzlokal,6820,452,1,competition
Romantische Tal,4062,88,1,competition
Heimat Platz,2700,46,1,competition
Herzog Hofladen,4850,865,1,competition
Festliche Bodega,8020,1135,1,competition
Pittoreske Rebgarten,1200,209,1,competition
Scharfe Brauhaus,6923,89,1,competition
Bauer Speakeasy,5020,0,1,competition
Bunte Hofladen,4030,817,1,competition
Ruhige Speakeasy,2721,1355,1,competition
Holz Gesellschaftsraum,6020,246,1,competition
Romantische Weinbistro,8582,861,1,competition
Opulent Alm,1100,166,1,competition
Große Hofladen,1130,741,1,competition
Neue Ratsstube,6900,838,1,competition
Wiener Stadl,1100,562,1,competition
Pittoreske Platzl,1070,41,1,competition
Bäuerliche Festscheune,1170,250,1,competition
Quaint Inn,1120,6,1,competition
Silberne Grillplatz,8160,47,1,competition
Große Tafelspitz,3100,245,1,competition
Rasante Kneipenlokal,1050,7,1,competition
Scharfe Rathskeller,4061,330,1,competition
Sonnen Grillroom,1100,8,1,competition
Roter Stüberl,4020,7,1,competition
Große Küche,4040,203,1,competition
Kultivierte Grillroom,8600,850,1,competition
Goldene Schenke,2345,287,1,competition
Glanzvolle Speakeasy,1100,40,1,competition
Fischer Küche,1160,89,1,competition
Frische Gesellschaftsraum,1120,934,1,competition
Winterliche Rebgarten,1200,9,1,competition
Köstliche Mühle,2361,325,1,competition
Legendary Tisch,9500,5,1,competition
Edelweiß Scheune,6100,203,1,competition
Stilvolle Zirbelstube,1100,2,1,competition
Himmel Pinte,2870,130,1,competition
Legendary Weinlokal,1100,1943,1,competition
Weinstube Tenne,6850,696,1,competition
Kleine Wirtshaus,1010,290,1,competition
Rote Taverna,3950,91,1,competition
Pittoreske Hofladen,1100,1173,1,competition
Kaiser Grillroom,3130,84,1,competition
Herbstliche Ort,6020,4,1,competition
Verträumte Schanke,1060,8,1,competition
Edelweiß Scheune,4030,165,1,competition
Wiener Wanderhütte,4050,532,1,competition
Rustikale Haus,6020,1,1,competition
Rustikale Grillplatz,8053,1,1,competition
Herzliche Speisesaal,1110,288,1,competition
Herzog Ort,1060,271,1,competition
Grüne Café,4614,631,1,competition
Ehrwürdige Tafelspitz,1180,2,1,competition
Grüne Scheune,1120,890,1,competition
