name,zip,orders,month,delivery_service
Große Gastgewölbe,8073,131,2,competition
Holz Klause,2460,141,2,competition
Verträumte Tanzschuppen,6890,411,2,competition
Geheimnisvolle Tanzschuppen,1110,1295,2,competition
Quaint Watering hole,5020,106,2,competition
Quaint Burg,1060,14,2,competition
Roter See,1010,16,2,competition
Wein Speisesaal,5020,894,2,competition
Adventurous Dorf,1120,177,2,competition
Edle Dorf,1150,31,2,competition
Gebackene Klause,6971,916,2,competition
Rote Eck,5020,53,2,competition
Prachtvolle Platz,8010,237,2,competition
Stille Winkel,3130,109,2,competition
Kaiser Schlösschen,5020,819,2,competition
Köstliche Kellerstüberl,1090,16,2,competition
Malerische Café,1160,1626,2,competition
Legendary Weinbistro,1230,11,2,competition
Roter Stuben,8020,11,2,competition
Gasthof Weinkeller,8010,11,2,competition
Ruhige Soda fountain,8054,13,2,competition
Nostalgische Gourmet,8572,715,2,competition
Himmel Stube,3204,39,2,competition
Sonnige Schenke,1100,1008,2,competition
Bauer Winery,1190,119,2,competition
Glanzvolle Brauerei,1080,10,2,competition
Ruhige Tisch,1020,160,2,competition
Stilvolle Tisch,1170,7,2,competition
Rote Zirbelstube,6850,1095,2,competition
Gemütliche Drinkery,2340,501,2,competition
Kaiser Heuriger,1080,5,2,competition
Hohe Rebgarten,5020,99,2,competition
Königliche Schanke,2100,277,2,competition
Wald Zimmer,1010,34,2,competition
Maritime Schlösschen,5020,82,2,competition
Edle See,9020,736,2,competition
Schloss Krug,5020,89,2,competition
Fischer Keller,1070,16,2,competition
Wald Ecke,4600,338,2,competition
Alpine Gourmet,8054,238,2,competition
Edle Schmankerl,4600,315,2,competition
Verträumte Gaststube,1120,204,2,competition
Countrified Zimmer,1070,13,2,competition
Himmel Schankstube,1020,16,2,competition
Rustikale Café,4040,259,2,competition
Bauer Schmiede,2410,121,2,competition
Kultivierte Ginmill,1090,53,2,competition
Scharfe Blick,8713,29,2,competition
Stille Kneipe,8020,185,2,competition
Stern Mühle,5020,6,2,competition
Magische Dorfschenke,8010,27,2,competition
Bäuerliche Palast,1010,7,2,competition
Wolkenkratzer Platz,8010,175,2,competition
Edle Tenne,4020,153,2,competition
Rauchige Schlemmerparadies,1070,357,2,competition
Schloss Pinte,8020,841,2,competition
Kaiser Blick,2700,1377,2,competition
Edelweiß Stuben,8430,53,2,competition
Adventurous Waldhaus,5630,202,2,competition
Romantische Gesellschaftsraum,8940,225,2,competition
Wirtshaus Eck,4020,7,2,competition
Gasthof Soda fountain,5730,121,2,competition
Goldene Tenne,6020,3,2,competition
Quaint Scheune,8076,7,2,competition
Herzog Stuben,4020,107,2,competition
Geheimnisvolle Lokal,1220,612,2,competition
Prachtvolle Pizzeria,1020,231,2,competition
Herzliche See,8020,152,2,competition
Gebackene Keller,1070,33,2,competition
Bäuerliche Alm,2490,12,2,competition
Schöne Gasthof,6710,297,2,competition
Gasthof Krug,1050,31,2,competition
Gebackene Pinte,1210,1809,2,competition
Adventurous Speakeasy,6020,242,2,competition
Bustling Haus,1010,19,2,competition
Blaue Pizzeria,2491,214,2,competition
Nostalgische Ratskeller,1160,0,2,competition
Köstliche Ratskeller,5020,146,2,competition
Bäuerliche Hof,1120,223,2,competition
Grüne Hideaway,6020,54,2,competition
Romantische Almhütte,4020,545,2,competition
Bäuerliche Jausenstation,1220,59,2,competition
Hof Watering hole,6410,92,2,competition
Mozart Tanzschuppen,6020,374,2,competition
Rote Dorfschenke,1080,6,2,competition
Holz Ginmill,8940,273,2,competition
Opulent Alm,4040,425,2,competition
Bustling Rittersaal,5071,578,2,competition
Legendary Gastzimmer,2514,346,2,competition
Prachtvolle See,1140,176,2,competition
Sonnen Winkel,1160,39,2,competition
Große Feuerstelle,4040,1576,2,competition
Märchenhafte Gesellschaftsraum,1170,97,2,competition
Himmel Tafelspitz,1210,258,2,competition
Kaiser Hof,2460,203,2,competition
Exotische Bräustüberl,4600,439,2,competition
Glänzende Bauernhof,3100,193,2,competition
Goldene Bodega,2630,98,2,competition
Grüne Zimmer,2700,749,2,competition
Wein Café,1040,788,2,competition
Gebackene Biergarten,5020,102,2,competition
Frische Drinkery,8020,132,2,competition
Edle Gourmet,1030,639,2,competition
Glänzende Schänke,1010,57,2,competition
Glanzvolle Schankstube,1010,53,2,competition
Countrified Garten,4020,54,2,competition
Himmel Taverna,9620,48,2,competition
Alpen Watering hole,1050,192,2,competition
Bergdorf Weinstube,1030,10,2,competition
Festliche Braustube,6020,10,2,competition
Fröhliche Blick,5020,6,2,competition
Bäuerliche Watering hole,8753,113,2,competition
Malerische Lokal,1030,1441,2,competition
Frische Stadl,1100,276,2,competition
Mühle Grillroom,9020,350,2,competition
Festliche Tanzlokal,1020,39,2,competition
Gesellige Brauerei,8020,6,2,competition
Wolkenkratzer Palast,1010,5,2,competition
Gebackene Winery,5500,262,2,competition
Elegante Dorfschenke,1090,246,2,competition
Gesellige Stadl,9020,406,2,competition
Roter Stüberl,3100,78,2,competition
Geheimnisvolle Gasthof,1210,339,2,competition
Weinstube See,6900,509,2,competition
Prachtvolle Wirtshaus,3300,706,2,competition
Bustling Rathskeller,8472,855,2,competition
Verträumte Taverne,1060,15,2,competition
Herzliche Weinbar,1080,32,2,competition
Festliche Mühle,6067,453,2,competition
Kaiser Herberge,1090,4,2,competition
Winterliche Bierstube,1030,1121,2,competition
Gute Stube,2563,433,2,competition
Kleine Brauerei,9020,760,2,competition
Gebackene Watering hole,1020,207,2,competition
Glänzende Grillroom,2103,31,2,competition
Hohe Weinkeller,1010,990,2,competition
Zirben Schlösschen,1100,10,2,competition
Ruhige Ort,1160,261,2,competition
Traditionsreiche Stuben,2320,377,2,competition
Bäuerliche Festscheune,1030,364,2,competition
Gute Gastgewölbe,2000,7,2,competition
Gastfreundliche Speisesaal,4052,483,2,competition
Romantische Dorfschenke,9020,708,2,competition
Traditionsreiche Heuriger,1160,552,2,competition
Goldene Jausenstation,1200,324,2,competition
Blaue Bierstube,5400,108,2,competition
Glänzende Gasthof,1080,195,2,competition
Traditionsreiche Eck,1100,16,2,competition
Pittoreske Feuerstelle,1200,417,2,competition
Malerische Eatery,5400,386,2,competition
Edelweiß Dive,8075,586,2,competition
Ehrwürdige Brauerei,8020,1191,2,competition
Alpen Heuriger,1010,8,2,competition
Gastfreundliche Küche,4040,4,2,competition
Moderne Felsenkeller,5020,255,2,competition
Grüne Bräustüberl,1150,1381,2,competition
Herbstliche Hofbräu,8020,126,2,competition
Berg Ort,2700,147,2,competition
Prachtvolle Weinbistro,1210,484,2,competition
Traditionsreiche Hofbräu,1110,726,2,competition
Ländliche Speakeasy,8052,100,2,competition
Geheimnisvolle Gourmet,2424,284,2,competition
Idyllische Taverne,8130,240,2,competition
Geheimnisvolle Hütte,1010,7,2,competition
Hohe Klause,1200,34,2,competition
Countrified Alm,1110,9,2,competition
Kleine Brauerei,8020,318,2,competition
Grüne Inn,7210,93,2,competition
Alpen Küche,6900,296,2,competition
Fröhliche Herberge,8010,75,2,competition
Legendary Speakeasy,1190,249,2,competition
Quaint Hofladen,6020,1074,2,competition
Bäuerliche Festscheune,2345,161,2,competition
Winterliche Café,1060,151,2,competition
Festliche Ort,1070,46,2,competition
Adventurous Verköstigungszimmer,1020,217,2,competition
Kaiser Weinbistro,9020,689,2,competition
Wein Taverne,1080,137,2,competition
Rote Weinbar,4020,7,2,competition
Rustikale Club,1070,58,2,competition
Sonnen Herberge,8280,175,2,competition
Blumen Kneipe,1020,543,2,competition
Wirtshaus Waldhaus,3150,413,2,competition
Gastfreundliche Platz,2700,446,2,competition
Wolkenkratzer Biergarten,6890,29,2,competition
Elegante Stüberl,8970,56,2,competition
Pittoreske Grillroom,6850,349,2,competition
Fröhliche Stadl,6460,480,2,competition
Festliche Tal,1020,152,2,competition
Malerische Mühle,8020,72,2,competition
Blumen Speiselokal,9500,741,2,competition
Blaue Schlösschen,5020,110,2,competition
Festliche Weinbar,3133,350,2,competition
Gesellige Alm,4020,232,2,competition
Glanzvolle Alm,8055,847,2,competition
Verträumte Wirt,6300,220,2,competition
Countrified Bauernhof,2100,805,2,competition
Winterliche Haus,1120,8,2,competition
Kultivierte Schlemmerparadies,1010,11,2,competition
Grüne Gesellschaftsraum,5020,132,2,competition
Winterliche Dive,5020,3,2,competition
Glänzende Speakeasy,1210,81,2,competition
Maritime Café,4441,81,2,competition
Winterliche Ecke,9813,184,2,competition
Bunte Garten,1120,1,2,competition
Moderne Taverna,2201,274,2,competition
Silberne Winkel,1080,403,2,competition
Prachtvolle Stuben,1150,10,2,competition
Bäuerliche Festscheune,1010,93,2,competition
Countrified Haus,1050,85,2,competition
Alpen Alm,8010,806,2,competition
Kleine Kneipenlokal,5020,568,2,competition
Rustikale Hofbräu,1170,468,2,competition
Rustikale Ecke,4020,27,2,competition
Legendary Grillplatz,4020,15,2,competition
Große Café,6020,77,2,competition
Wald Café,1070,263,2,competition
Geheimnisvolle Dorfschenke,1010,484,2,competition
Idyllische Schlemmerparadies,2524,410,2,competition
Alpen Schmiede,1050,278,2,competition
Hof Drinkery,6020,1342,2,competition
Quaint Schänke,1210,262,2,competition
Herbstliche Gasthof,1100,5,2,competition
Geheimnisvolle Tanzschuppen,7100,148,2,competition
Romantische Ecke,6020,1978,2,competition
Kleine Brauerei,1110,357,2,competition
Köstliche Rittersaal,1160,231,2,competition
Prachtvolle Tenne,1160,116,2,competition
Edle Zirbelstube,8010,254,2,competition
Frische Rathskeller,4400,169,2,competition
Rasante Bräustüberl,8010,292,2,competition
Gastfreundliche Esszimmer,8010,10,2,competition
Gebackene Küche,6068,616,2,competition
Opulent Alm,1210,415,2,competition
Rauchige Zimmer,2380,326,2,competition
Ruhige Platz,3400,304,2,competition
Gasthof Winkel,1100,294,2,competition
Gemütliche Hütte,1160,343,2,competition
Edelweiß Stuben,4614,465,2,competition
Exotische Mühle,1210,417,2,competition
Winterliche Esszimmer,1110,685,2,competition
Bäuerliche Jausenstation,1210,378,2,competition
Goldene Tisch,1030,314,2,competition
Kaiser Almhütte,5020,275,2,competition
Fischer Pinte,2351,169,2,competition
Zirben Hideaway,1010,11,2,competition
Sonnen Ratsstube,1120,9,2,competition
Neue Herrenhaus,8010,227,2,competition
Grüne Schänke,1130,331,2,competition
Gesellige Heuriger,4202,841,2,competition
Blaue Stuben,1200,13,2,competition
Bäuerliche Festscheune,1100,271,2,competition
Rote Hofladen,8010,400,2,competition
Gasthof Gaststube,6850,1839,2,competition
Blaue Zimmer,8700,1193,2,competition
Hof Garten,8665,325,2,competition
Fröhliche Hofladen,8051,429,2,competition
Roter See,4020,125,2,competition
Roter Stüberl,6330,2,2,competition
Köstliche Herrenhaus,1030,10,2,competition
Rustikale See,1090,33,2,competition
Winterliche Taverne,9500,4,2,competition
Dörfler Tenne,1010,31,2,competition
Herbstliche Esszimmer,6300,317,2,competition
Exotische Eatery,8712,667,2,competition
Grüne Burg,2100,171,2,competition
Schöne Schänke,1150,13,2,competition
Weinstube Drinkery,9020,26,2,competition
Scharfe Kaminzimmer,2201,352,2,competition
Elegante Schanke,1150,227,2,competition
Alpine Mühle,1190,508,2,competition
Quaint Gourmet,1100,1720,2,competition
Mühle Salons,1080,164,2,competition
Holz Salons,1160,305,2,competition
Wiener Lokal,6130,452,2,competition
Bäuerliche Jausenstation,1220,499,2,competition
Kleine Rathskeller,3100,312,2,competition
Schöne Winery,1010,11,2,competition
Himmel Hof,2320,450,2,competition
Kleine Brauerei,6020,235,2,competition
Hohe Pinte,8410,55,2,competition
Sanfte Ginmill,8435,369,2,competition
Opulent Ecke,4040,162,2,competition
Verträumte Küche,5340,16,2,competition
Wald Kellerstüberl,1030,616,2,competition
Bustling Tisch,1210,638,2,competition
Gemütliche Speiselokal,8020,299,2,competition
Geheimnisvolle Herrenhaus,3170,173,2,competition
Rustikale Bräustüberl,1080,88,2,competition
Malerische Stuben,1220,265,2,competition
Verträumte Speiselokal,1150,117,2,competition
Grüne Weinkneipe,2551,45,2,competition
Kleine Esszimmer,3340,316,2,competition
Berg Wirt,6363,13,2,competition
Rote Kneipe,4611,26,2,competition
Malerische Blick,2230,293,2,competition
Himmel Weinlokal,2512,187,2,competition
Malerische Herrenhaus,2500,472,2,competition
Traditionsreiche Keller,8650,9,2,competition
Gebackene Hofladen,4030,214,2,competition
Malerische Schänke,3100,1,2,competition
Himmel Pinte,2870,178,2,competition
Legendary Weinlokal,1100,1645,2,competition
Weinstube Tenne,6850,484,2,competition
Fischer Küche,1160,155,2,competition
Frische Gesellschaftsraum,1120,663,2,competition
Winterliche Rebgarten,1200,73,2,competition
Verträumte Schanke,1060,23,2,competition
Edelweiß Scheune,4030,149,2,competition
Wiener Waldhaus,6020,261,2,competition
Fröhliche Drinkery,8411,133,2,competition
Bunte Ginmill,5020,15,2,competition
Goldene Schlemmerparadies,6832,102,2,competition
Nostalgische Esszimmer,5020,6,2,competition
Moderne Kellerstüberl,6020,1891,2,competition
Alpen Zimmer,1150,6,2,competition
Alpen Hideaway,5020,12,2,competition
Wiener Wanderhütte,4050,649,2,competition
Rustikale Haus,6020,9,2,competition
Rasante Hangout,1100,193,2,competition
Gemütliche Keller,8501,851,2,competition
Bauer Weinkneipe,2514,605,2,competition
Schloss Wanderhütte,8045,282,2,competition
Ruhige Stubn,4040,237,2,competition
Ehrwürdige Tafelspitz,1180,36,2,competition
Goldene Kneipe,1040,3,2,competition
Grüne Café,4614,406,2,competition
Sonnen Grillroom,1100,4,2,competition
Roter Stüberl,4020,10,2,competition
Große Küche,4040,379,2,competition
Kultivierte Grillroom,8600,953,2,competition
Goldene Schenke,2345,389,2,competition
Glanzvolle Speakeasy,1100,181,2,competition
Bunte Herberge,1070,292,2,competition
Holz Stüberl,1220,577,2,competition
Frische Eck,1040,6,2,competition
Gemütliche Stubn,2500,762,2,competition
Rustikale Grillplatz,8053,15,2,competition
Herzliche Speisesaal,1110,259,2,competition
Herzog Ort,1060,400,2,competition
Herzog Tenne,1020,13,2,competition
Kleine Wirtshaus,1010,11,2,competition
Rote Taverna,3950,221,2,competition
Bustling Tanzlokal,2132,220,2,competition
Berg Hof,5431,7,2,competition
Rustikale Dorf,2544,381,2,competition
Pittoreske Hofladen,1100,962,2,competition
Kaiser Grillroom,3130,52,2,competition
Herbstliche Ort,6020,10,2,competition
Köstliche Mühle,2361,608,2,competition
Legendary Tisch,9500,41,2,competition
Legendary Schanke,6060,647,2,competition
Frische Bauernhof,1230,126,2,competition
Verzauberte Schlemmerparadies,1050,16,2,competition
Roter Stüberl,6020,233,2,competition
Berg Gesellschaftsraum,2544,1761,2,competition
Blauer Schanze,4484,618,2,competition
Herzliche Felsenkeller,4020,1180,2,competition
Bunte Salons,1220,144,2,competition
Gasthof Festscheune,8010,1087,2,competition
Gebackene Herrenhaus,1010,460,2,competition
Alpine Hofladen,6020,316,2,competition
Bauer Hangout,3100,202,2,competition
Einsame Gastzimmer,8010,10,2,competition
Grüne Platz,1070,10,2,competition
Blaue Biergarten,1020,327,2,competition
Frische Bierbrunnen,1070,916,2,competition
Blauer Lokal,4224,339,2,competition
Edelweiß Scheune,4481,313,2,competition
Quaint Tal,6020,155,2,competition
Gasthof Drinkery,1060,7,2,competition
Adventurous Weinlokal,1190,221,2,competition
Gebackene Gourmet,4800,487,2,competition
Bergdorf Ort,6460,158,2,competition
Wein Tisch,1010,431,2,competition
Schloss Tanzschuppen,6850,410,2,competition
Schöne Pinte,1200,433,2,competition
Berg Kellerstüberl,6444,85,2,competition
Blaue Schmiede,8020,78,2,competition
Erfahrene Taverne,1150,847,2,competition
Bäuerliche Festscheune,2351,143,2,competition
Mozart Hofladen,1150,702,2,competition
Silberne Stadl,2604,482,2,competition
Neue Hangout,3313,431,2,competition
Grüne Tanzlokal,2320,900,2,competition
Blaue Dorfschenke,1150,173,2,competition
Neue Kneipenlokal,1220,934,2,competition
Quaint Club,5020,1140,2,competition
Himmel Herberge,1060,887,2,competition
Hohe Wirt,1160,69,2,competition
Blumen Küche,6280,183,2,competition
Stilvolle Winery,1110,281,2,competition
Schöne Festscheune,4213,334,2,competition
Bergdorf Kneipe,1090,31,2,competition
Elegante Stubn,1080,226,2,competition
Malerische Grillroom,5020,85,2,competition
Legendary Bauernhof,1230,429,2,competition
Hof Café,2462,84,2,competition
Roter Schmiede,1220,653,2,competition
Bunte Winery,3380,117,2,competition
Hohe Dorfschenke,1150,9,2,competition
Countrified Verköstigungszimmer,8010,669,2,competition
Roter See,8010,143,2,competition
Grüne Biergarten,2201,382,2,competition
Alpine Stuben,2103,156,2,competition
Weinstube Bodega,1010,11,2,competition
Idyllische Bierbrunnen,9020,1041,2,competition
Herzog Hideaway,9560,292,2,competition
Rote Grillplatz,8020,14,2,competition
Bergdorf Garten,7350,53,2,competition
Bustling Küche,8054,876,2,competition
Magische Gasthof,1060,917,2,competition
Berg Pizzeria,8112,154,2,competition
Einsame Brauerei,9020,192,2,competition
Kaiser Hofladen,1050,20,2,competition
Berg Haus,5020,487,2,competition
Winterliche Hofladen,1060,194,2,competition
Grüne Ratskeller,1040,28,2,competition
Erfahrene Kaminzimmer,6900,12,2,competition
Herbstliche Watering hole,1100,34,2,competition
Bunte Rebgarten,5020,218,2,competition
Sonnige Kellerstüberl,1230,1372,2,competition
Kaiser Schlemmerparadies,1020,79,2,competition
Legendary Gesellschaftsraum,4020,1778,2,competition
Roter Tal,1020,218,2,competition
Ländliche Ratsstube,1100,11,2,competition
Stern Festscheune,1220,140,2,competition
Glänzende Schmankerl,7201,1948,2,competition
Grüne Hofbräu,1100,1583,2,competition
Alte Krug,4600,659,2,competition
Edelweiß Wirtshaus,1230,597,2,competition
Legendary Juke joint,1100,143,2,competition
Köstliche Ginmill,3500,495,2,competition
Gute Zirbelstube,1130,183,2,competition
Bäuerliche Waldhaus,8045,520,2,competition
Stilvolle Hof,1190,305,2,competition
Berg Festscheune,1100,319,2,competition
Rustikale Soda fountain,1100,30,2,competition
Traditionsreiche Waldhaus,1020,34,2,competition
Countrified Brauerei,1200,916,2,competition
Märchenhafte Schankstube,5630,50,2,competition
Rote Verköstigungszimmer,9020,642,2,competition
Berg Waldhaus,1020,155,2,competition
Nostalgische Schmiede,9500,235,2,competition
Ruhige Blick,2124,140,2,competition
Gasthof Kneipe,2232,34,2,competition
Winterliche Klause,4100,55,2,competition
Idyllische Hof,1210,483,2,competition
Kleine Gastgewölbe,1140,513,2,competition
Wein Stube,2514,79,2,competition
Hof Salons,8700,460,2,competition
Dörfler Weinbistro,1150,780,2,competition
Roter See,9020,241,2,competition
Romantische See,1050,55,2,competition
Herzliche Schmiede,1210,1264,2,competition
Edelweiß Kneipe,1220,10,2,competition
Blauer Stube,4020,85,2,competition
Romantische Weinbistro,4020,358,2,competition
Dörfler Grillroom,2443,46,2,competition
Königliche Kaminzimmer,1210,228,2,competition
Alte Pinte,8051,1720,2,competition
Roter Stüberl,8020,104,2,competition
Bustling Hofladen,1030,547,2,competition
Ruhige Keller,2700,270,2,competition
Blauer Hideaway,1100,469,2,competition
Ländliche Garten,4040,52,2,competition
Königliche Brauerei,3300,75,2,competition
Neue Platz,6850,70,2,competition
Kaiser Dive,1070,4,2,competition
Gastfreundliche Haus,1010,252,2,competition
Opulent Soda fountain,4020,574,2,competition
Wolkenkratzer Wirtshaus,3100,469,2,competition
Bauer Tal,4060,1036,2,competition
